step,psnr,ssim
0,24.593524932861328,0.6913893818855286
1,24.019132614135746,0.72484290599823
2,25.27752685546875,0.694625198841095
3,24.10910415649414,0.6994800567626953
4,24.977495193481445,0.7471439242362976
5,25.03152847290039,0.7613791227340698
6,24.92609214782715,0.7475305795669556
7,24.441059112548828,0.761257529258728
8,25.673757553100586,0.7003406286239624
9,25.94857215881348,0.7306534051895142
10,23.41731071472168,0.7346629500389099
11,24.463253021240234,0.7762286067008972
12,24.218366622924805,0.7344695925712585
13,23.60993957519531,0.7596592307090759
14,24.27947807312012,0.7475916743278503
15,24.624025344848636,0.7283612489700317
16,23.779132843017575,0.7513359785079956
17,23.42708969116211,0.7093368172645569
18,24.584835052490234,0.735406756401062
19,23.42349624633789,0.7282258868217468
20,24.446453094482425,0.7313779592514038
21,25.330463409423828,0.6858028769493103
22,23.989166259765625,0.7650818824768066
23,24.346044540405273,0.7478586435317993
24,24.54829025268555,0.7536342740058899
25,23.02147674560547,0.7327202558517456
26,22.186847686767575,0.7670906186103821
27,24.774150848388672,0.7905387282371521
28,23.46978187561035,0.7592507600784302
29,23.81065368652344,0.7491308450698853
30,23.253013610839844,0.7421808242797852
31,24.02254676818848,0.6709705591201782
32,24.660091400146484,0.7359762191772461
33,25.64955139160156,0.7048291563987732
34,23.388111114501953,0.7237828373908997
35,25.574642181396484,0.7275964021682739
36,23.850271224975586,0.7604325413703918
37,23.88930511474609,0.727270245552063
38,22.98263931274414,0.7536594867706299
39,23.126205444335934,0.7586366534233093
40,24.511310577392575,0.7523868680000305
41,23.586679458618164,0.7294191122055054
42,24.251110076904297,0.7184620499610901
43,24.32387924194336,0.7127776145935059
44,24.52637481689453,0.7093479037284851
45,25.162633895874023,0.7133728265762329
46,24.65034484863281,0.7633075118064879
47,23.910785675048828,0.7273002862930298
48,24.988998413085934,0.7060409784317017
49,24.141679763793945,0.7361862063407898
50,24.546907424926758,0.7151429057121277
51,24.692853927612305,0.7301178574562073
52,24.775257110595703,0.7374142408370972
53,24.972938537597656,0.7014097571372986
54,23.2379207611084,0.7185877561569214
55,23.634967803955078,0.7680832147598267
56,23.596426010131836,0.7083081007003784
57,22.778249740600586,0.7285444140434265
58,25.240665435791016,0.7086209058761597
59,24.210351943969727,0.7386153936386108
60,24.23764419555664,0.7693811655044556
