epoch,adv_loss,content_loss,d_loss,feature_loss,gan_loss,style_loss,total_g_loss,val_psnr,val_ssim
0,1.5363218784332275,0.0010237644892185926,3.8683104515075684,0.07374222576618195,5.404632568359375,0.001976876985281706,0.0844244733452797,18.544235229492188,0.643818199634552
1,3.518988609313965,0.00038941868115216494,1.4014416933059692,0.060994744300842285,4.9204301834106445,0.0006857158150523901,0.07966481894254684,25.963289260864258,0.7494491934776306
2,2.286731719970703,0.0005330051644705236,2.3923492431640625,0.07502380758523941,4.679080963134766,0.0016652169870212674,0.08865569531917572,25.863025665283203,0.7272427082061768
3,2.59584641456604,0.0002992543741129339,2.3781070709228516,0.05624350532889366,4.9739532470703125,0.00034414889523759484,0.0698661357164383,27.39306640625,0.7515239715576172
4,2.3691186904907227,0.0004758505674544722,1.9017689228057861,0.060876570641994476,4.27088737487793,0.0005275895236991346,0.0737256109714508,25.185516357421875,0.6771517395973206
5,3.532510280609131,0.00035378331085667014,1.073298692703247,0.05291828140616417,4.605809211730957,0.0001365288917440921,0.07107114791870117,25.969114303588867,0.7023012638092041
6,3.2558155059814453,0.0003762003034353256,1.275982141494751,0.054705917835235596,4.531797409057617,0.00022607145365327597,0.07158727198839188,27.62412452697754,0.7296314239501953
7,2.129856586456299,0.00025551460566930473,1.9249610900878906,0.04617274925112724,4.0548176765441895,0.0001220869307871908,0.0571996308863163,27.411495208740234,0.7368478775024414
8,1.8692312240600586,0.0003644034150056541,2.509857177734375,0.05428650975227356,4.379088401794434,0.00013745352043770254,0.06413452327251434,25.23728370666504,0.7002367973327637
9,4.726352691650391,0.0005403216346167028,0.9402022957801819,0.05129892751574516,5.666554927825928,0.0002173085231333971,0.07568832486867905,24.438642501831055,0.6879312992095947
10,5.016416072845459,0.00038846879033371806,1.1168557405471802,0.06172763556241989,6.13327169418335,0.00021088919311296195,0.08740907162427902,26.139219284057617,0.7084523439407349
11,4.06130313873291,0.00044341132161207497,0.8137409687042236,0.059639688581228256,4.875043869018555,0.0007837010780349374,0.08117332309484482,25.79677391052246,0.7325007319450378
12,3.2171730995178223,0.0004066121473442763,1.1965000629425049,0.05259140580892563,4.413673400878906,0.00023200683062896132,0.06931588798761368,28.643037796020508,0.7547155618667603
13,0.9002043604850769,0.000494693114887923,4.32667350769043,0.06650334596633911,5.226877689361572,0.0006539977039210498,0.07215306162834167,26.157316207885742,0.6851809620857239
