step,psnr,ssim
0,16.232904,0.5778423
1,22.682905,0.6426716
2,21.620789,0.640714
3,23.94064,0.66939574
4,22.967573,0.6047445
5,22.89379,0.61846495
6,24.852646,0.6995126
7,24.670156,0.67117727
8,22.624407,0.62613213
9,22.262743,0.66098154
10,23.958975,0.6002183
11,22.550236,0.6345467
12,24.629272,0.5916541
13,22.583492,0.6427232
14,24.845425,0.60179853
15,22.700357,0.63001287
16,23.49857,0.59067243
17,22.679073,0.6381294
18,24.200521,0.64908266
19,23.220673,0.63781357
20,24.061464,0.65887374
21,22.897036,0.63110745
22,23.681265,0.6177392
23,21.997517,0.61436164
24,23.245584,0.67370564
25,19.123043,0.56108016
26,22.676113,0.5910188
27,24.846575,0.6596604
28,23.052303,0.60523415
29,21.825682,0.59554243
30,22.905924,0.64740115
31,21.712229,0.617272
32,22.25957,0.62374955
33,20.972979,0.6347197
34,23.83814,0.6531978
35,22.603865,0.64792347
36,21.138659,0.61331356
37,22.179148,0.58464843
38,22.597136,0.62112206
39,20.504028,0.52809435
40,24.829702,0.627974
41,23.607504,0.66384095
42,22.670826,0.685188
43,23.95975,0.6336287
44,25.289532,0.6309797
45,24.497242,0.63640404
46,23.588696,0.6707908
47,23.758804,0.6317652
48,26.331308,0.64709485
49,23.858608,0.6667301
50,24.812988,0.6517318
51,26.216963,0.6703754
52,25.394669,0.59408814
53,24.168135,0.6347693
54,24.823765,0.6524318
55,24.209,0.63960755
56,24.728947,0.6406926
57,24.397848,0.6085501
58,25.15267,0.63626903
59,24.309713,0.670029
