step,psnr,ssim
0,31.010244,0.8350725
1,29.736181,0.8234059
2,28.922556,0.79773206
3,29.602291,0.822103
4,28.864752,0.8474843
5,29.555386,0.7630898
6,26.392298,0.752772
7,29.695423,0.77282894
6,28.193827,0.7538456
7,28.713507,0.7446777
8,27.077969,0.7717732
9,29.584442,0.8170891
10,27.77475,0.79324335
11,26.809607,0.73194647
12,30.070267,0.77564394
13,28.006,0.7759573
14,27.945316,0.8302988
15,29.854193,0.8217472
16,26.296986,0.7784437
17,29.956417,0.77963537
18,26.517574,0.73390806
19,28.351456,0.83266914
20,28.99209,0.7938721
21,27.600811,0.73248374
22,26.559011,0.73463565
23,28.92561,0.7427027
24,28.085037,0.740747
25,26.384594,0.79848653
26,26.514303,0.77744246
27,26.028095,0.677991
28,27.210033,0.7551878
29,27.882711,0.7997488
30,27.435715,0.7965191
31,28.631313,0.7386862
32,28.57192,0.7967762
33,27.44253,0.84495544
34,26.370295,0.7778351
35,27.406485,0.72967947
36,27.311092,0.7787239
37,27.093546,0.7707292
38,27.6264,0.78525084
39,26.601032,0.8029745
