step,psnr,ssim
0,24.214603,0.63600165
1,26.214703,0.6543134
2,26.508219,0.68940055
3,25.05947,0.69492435
4,25.118252,0.6214183
5,24.24057,0.63059473
6,25.56669,0.63625866
7,24.041264,0.6506414
8,24.807478,0.65139145
9,25.020493,0.64697427
10,24.691435,0.648744
11,25.297333,0.62339604
12,24.882639,0.65921986
13,25.786325,0.66161674
14,24.105679,0.6662714
15,24.898165,0.5954167
16,23.88361,0.58513534
17,23.282183,0.6065763
18,24.729387,0.6301333
19,24.924063,0.6093295
20,24.867937,0.62201786
21,25.512253,0.6449153
22,24.457973,0.6136325
23,23.880157,0.6381035
24,24.667324,0.6240347
25,24.128038,0.6043795
26,23.54762,0.6225658
27,24.378376,0.60346633
28,24.239672,0.64325756
29,24.499971,0.60619074
30,23.821646,0.5966565
31,25.287205,0.61348563
32,23.461344,0.5852159
33,23.285563,0.5912244
34,23.519043,0.57820064
35,23.826754,0.63048613
36,25.076223,0.605539
37,25.523657,0.6133756
38,23.48172,0.58602726
39,24.600084,0.58016735
