step,psnr,ssim
0,26.644255,0.6650256
1,23.60845,0.6209936
2,24.123674,0.645018
3,24.081022,0.6211854
4,25.444601,0.65122473
5,24.179857,0.67836255
6,25.859638,0.66466683
7,25.694366,0.6444661
8,25.134815,0.62623316
9,25.186764,0.6661895
10,25.376867,0.62740713
11,24.305084,0.6448046
12,25.920927,0.65579814
13,25.717087,0.64358073
12,24.647812,0.6441948
13,25.073975,0.65330356
14,24.524458,0.59047014
15,26.136827,0.61697674
16,25.063276,0.62415886
17,25.55063,0.6215281
18,22.673635,0.64236325
19,24.847551,0.6101566
20,23.948893,0.61616856
21,24.287428,0.62078154
22,25.04949,0.61485535
23,24.276249,0.648439
24,24.379942,0.6395546
25,25.05852,0.5943276
26,24.829344,0.6103557
27,24.944895,0.5737119
28,25.079472,0.63705045
29,23.115309,0.5671445
30,23.421604,0.6144957
31,24.72795,0.6346484
32,24.245327,0.59770244
33,24.665985,0.58764607
34,24.501303,0.60430104
35,24.163574,0.58379227
36,24.905,0.6213836
37,25.327227,0.6253287
38,24.03745,0.6044666
39,24.237555,0.62418425
