step,psnr,ssim
0,27.271444,0.75835055
1,29.002192,0.7808704
2,25.817636,0.8060085
3,28.22709,0.80865204
4,28.109547,0.8393339
5,27.437433,0.80890733
6,28.713886,0.7445801
7,28.373444,0.8133119
8,26.95615,0.82700574
9,29.237164,0.81976223
10,28.002232,0.81727666
11,27.894077,0.75618166
12,28.16596,0.8369355
13,28.278875,0.8262278
14,28.658825,0.71478593
15,28.041012,0.80017614
16,28.258158,0.7633977
17,28.81073,0.8069555
18,27.994013,0.81942636
19,28.460934,0.84688604
20,29.84374,0.8235899
21,28.6315,0.7683848
22,29.054724,0.7457464
23,27.005154,0.76284504
24,28.058666,0.79765046
25,24.96062,0.7630899
26,27.551464,0.79530025
27,26.59341,0.8109115
28,28.984085,0.77666444
29,29.473927,0.79329455
