step,psnr,ssim
0,23.488583,0.6088306
1,20.961582,0.5976854
2,24.34324,0.6443127
3,24.870697,0.6717829
4,22.899736,0.60522884
5,24.059048,0.68172127
6,24.215143,0.6256799
7,24.024353,0.57995355
8,23.528751,0.606314
9,25.117052,0.6517744
10,23.922104,0.63157886
11,24.337137,0.5997699
12,23.804953,0.6428688
13,23.678787,0.65159833
14,24.264706,0.5859229
15,24.36398,0.6520161
16,22.848877,0.5943652
17,22.562103,0.5791982
18,25.020603,0.66679054
19,25.64623,0.6160861
20,24.182316,0.59146214
21,23.005672,0.54560536
22,24.718933,0.59812057
23,25.02262,0.6911936
24,24.816153,0.6495276
25,22.43637,0.6372524
26,23.265856,0.650406
27,22.447231,0.6306214
28,22.824514,0.6143856
29,23.419565,0.65677583
30,26.885544,0.6504702
31,25.105022,0.65586156
32,23.534668,0.63056713
33,24.770504,0.635631
34,25.000519,0.58766586
35,24.633968,0.6278467
36,23.954924,0.62305695
37,25.44586,0.62787086
38,23.753202,0.6180112
39,25.010363,0.6258721
40,24.517584,0.6682601
41,23.830793,0.6290742
42,24.420048,0.61807835
43,24.56955,0.6339629
44,24.204649,0.6176087
45,23.40302,0.6081912
46,24.557608,0.6401299
47,24.025757,0.63813275
48,24.266657,0.6207183
49,22.605194,0.6530965
50,25.048445,0.59812826
51,23.165432,0.60456085
52,24.451746,0.64856446
53,23.846127,0.61085814
54,24.87255,0.60987407
55,24.524052,0.62221676
56,24.412191,0.66630536
57,24.0722,0.59473145
58,23.815842,0.603426
59,23.98029,0.61875236
60,25.55762,0.6120537
61,22.772959,0.58130115
62,24.595058,0.61780304
63,23.805893,0.5957742
64,24.812256,0.6575095
65,22.905869,0.5974391
66,23.38606,0.62566286
67,24.093943,0.59633297
68,24.470997,0.6000951
69,25.319122,0.63130224
70,23.385555,0.5673005
71,24.585123,0.6473056
72,23.393051,0.6563028
73,25.138187,0.60188395
74,23.321371,0.6320801
75,23.476841,0.6013869
76,23.613377,0.6048073
77,24.027292,0.6221327
78,23.073496,0.6496717
79,24.367392,0.629289
80,23.96994,0.5711554
81,24.514683,0.6154412
82,23.536032,0.60357153
83,23.750315,0.5927424
84,24.40853,0.5978599
85,25.479458,0.6041728
86,23.993032,0.60129887
87,24.601366,0.62802726
88,22.495022,0.643726
89,24.589834,0.6145597
90,24.19241,0.5769367
91,24.263926,0.6005106
92,24.693329,0.65348583
93,24.4758,0.64685684
94,25.03506,0.6231845
95,23.55373,0.60887736
96,24.097263,0.62677956
97,24.590942,0.5518961
98,23.005949,0.6217925
99,23.582827,0.6213559
100,23.52539,0.6257366
101,23.64082,0.6438591
102,23.206564,0.6510405
103,24.597134,0.5770768
104,22.913206,0.6457791
105,23.596914,0.6021824
106,24.14888,0.6118155
107,24.736673,0.6182979
108,22.841919,0.5973943
109,22.479874,0.62375575
110,24.609371,0.63777393
111,25.216116,0.55862087
112,23.582464,0.64742476
113,24.908289,0.6046893
114,24.767132,0.59278387
115,23.100142,0.5947078
116,24.76607,0.6325051
117,23.69101,0.66337067
118,24.80018,0.61973006
119,24.329407,0.64358467
120,24.49374,0.64771545
121,23.340153,0.57314205
122,23.9566,0.590368
123,24.520456,0.60540915
124,24.593548,0.634048
125,23.874372,0.6145638
126,24.229326,0.64046717
127,24.059233,0.63462764
128,23.191164,0.6396474
129,24.282654,0.6171916
130,24.105625,0.61410344
131,23.74226,0.59364444
132,24.022543,0.6136864
133,24.912527,0.6174397
134,24.822195,0.6589039
135,22.947489,0.6198406
136,23.979292,0.65549046
137,25.182846,0.61087
138,23.729889,0.6087521
139,24.584547,0.57581455
140,24.582813,0.6113412
141,24.795238,0.59036815
142,23.397509,0.58758765
143,23.369152,0.6038615
144,24.946991,0.65168077
145,23.151524,0.6279486
146,23.894714,0.67179966
147,24.421535,0.6259852
148,24.154541,0.63494736
149,24.031912,0.63843125
150,23.23852,0.5787398
151,23.077871,0.57936627
152,24.395617,0.642994
153,24.87214,0.59070146
154,24.48269,0.6030325
155,24.047106,0.6152459
