step,psnr,ssim
0,29.31377,0.811561
1,27.376343,0.7332419
2,27.55339,0.8401221
3,30.669659,0.81684554
4,27.410711,0.8386213
5,28.476276,0.82347167
6,27.438364,0.82293546
7,29.537281,0.8443931
8,26.885418,0.75370574
9,28.528965,0.7347013
10,28.831104,0.8478433
11,28.97171,0.8368348
12,30.340862,0.8462919
13,28.485922,0.7978047
14,28.904638,0.8387027
15,29.390453,0.8306445
16,28.672937,0.83498985
17,28.604548,0.78502274
18,27.96077,0.83154505
19,28.217731,0.8196734
20,27.909597,0.80359346
21,28.403555,0.7805578
22,28.381573,0.7838944
23,29.493435,0.83832204
24,30.607763,0.81262845
25,28.228413,0.84290886
26,27.987646,0.83172303
27,27.884165,0.8229043
28,28.711288,0.79514396
29,28.2815,0.83748996
30,29.555645,0.8368877
31,26.970316,0.8132119
32,27.046276,0.849408
33,29.007542,0.8409321
34,29.22048,0.8009907
35,29.386906,0.8191128
36,27.501139,0.7948411
37,29.01658,0.8425871
38,29.784613,0.8474029
39,29.940723,0.8586362
40,28.57459,0.7940422
41,30.538036,0.83129245
42,27.257782,0.7732992
43,28.1913,0.82580864
44,29.360504,0.83572006
45,29.164486,0.82925093
46,29.842892,0.80020106
47,30.174866,0.82746065
48,28.517004,0.8216711
49,28.140741,0.8062561
50,28.97874,0.8212795
51,28.897089,0.7917038
52,29.25587,0.84129983
53,30.994812,0.79358923
54,29.752735,0.82070905
55,29.069433,0.8169929
56,30.00354,0.84123915
57,29.014627,0.834205
58,30.083721,0.8217224
59,29.359491,0.8040536
60,30.202694,0.86680925
61,28.560654,0.78333753
62,27.09411,0.8197958
63,28.790314,0.82726306
64,28.227367,0.79419553
65,29.04617,0.8002289
66,29.807117,0.8349789
67,30.161814,0.7814993
68,30.253704,0.8363477
69,30.261438,0.85414726
70,30.062387,0.8413063
71,27.610321,0.8256481
72,28.060379,0.8388192
73,29.550846,0.8388586
74,28.677128,0.83518
75,27.316616,0.85902137
76,25.97868,0.81141967
77,29.674557,0.8215944
78,27.428127,0.8019931
79,29.732,0.84016
80,28.163555,0.7876348
81,30.106232,0.801548
82,30.257412,0.8000652
83,30.351727,0.8255375
84,28.880152,0.7638295
85,29.648468,0.82083416
86,29.610794,0.81673396
87,28.899948,0.8338853
88,28.822342,0.8308176
89,29.985525,0.86053896
90,29.56837,0.7930612
91,28.903448,0.8047172
92,27.853918,0.83946574
93,28.803867,0.79081887
94,27.906826,0.80277556
95,29.00982,0.8008054
96,30.743649,0.8059033
97,30.790142,0.8345461
98,26.930115,0.806094
99,28.079082,0.7969146
100,30.893688,0.7864142
101,27.32961,0.826904
102,30.58111,0.8235587
103,28.647253,0.78717834
104,28.116632,0.8068124
105,28.91682,0.84214
106,29.691036,0.85355884
107,29.336237,0.82236737
108,29.403418,0.83969134
109,29.27277,0.8444951
110,30.175955,0.7938613
111,29.78687,0.80446607
112,29.833124,0.82840073
113,29.658789,0.780609
114,29.872631,0.7959604
115,29.07139,0.77641755
116,28.695013,0.8170471
117,28.92398,0.81693906
118,28.285294,0.8211872
119,27.730368,0.8029768
120,28.61907,0.79108703
121,27.009632,0.8267826
122,27.82874,0.82859164
123,28.956772,0.79343
124,27.159048,0.8340483
125,31.168055,0.77124405
126,26.611221,0.8105775
127,30.64033,0.7792712
128,29.714472,0.8108057
129,30.037876,0.80888903
130,28.906485,0.8285549
131,31.063013,0.8299178
132,28.096039,0.8134225
133,28.429907,0.81115645
134,29.412384,0.82180816
135,30.5136,0.77957225
136,28.883032,0.8264704
137,30.467133,0.8068962
138,30.60878,0.8550437
139,28.367945,0.8276552
140,26.519033,0.80337256
141,30.44729,0.7647058
142,27.286905,0.7837416
143,29.95454,0.82024634
144,28.197245,0.8195798
145,28.133911,0.8271729
146,28.612452,0.8066716
147,26.341358,0.80202734
148,27.889444,0.7634227
149,29.166601,0.81661034
150,30.035477,0.80269337
151,29.43443,0.81636035
152,29.242008,0.7723719
153,26.119205,0.836314
154,28.682552,0.8443626
155,29.638056,0.8313219
156,29.181845,0.7876047
157,29.093662,0.8257898
158,30.458221,0.84102666
159,27.688267,0.8122616
160,27.47696,0.80086154
161,29.586514,0.83513415
162,27.405777,0.7340293
163,29.186115,0.83566046
164,30.147593,0.8049213
165,29.758896,0.7893385
166,29.6109,0.84811556
167,29.244335,0.82440245
168,29.664944,0.83808786
169,31.627924,0.813269
170,28.733942,0.8224944
171,30.113363,0.81674325
172,30.511435,0.8199037
173,27.962662,0.86455643
174,29.498566,0.76449007
175,28.917461,0.82888603
176,26.520905,0.8340807
177,29.709326,0.81094754
178,29.069193,0.80658215
179,28.614777,0.8193178
180,29.140503,0.80396223
181,29.942331,0.8016097
182,29.16068,0.81449306
183,30.268738,0.8363039
184,29.18801,0.8156948
185,29.13265,0.8200488
186,29.135433,0.7954482
187,29.477362,0.75692195
188,29.035152,0.8139539
189,28.904104,0.80587137
190,26.73029,0.81216633
191,27.016504,0.77794677
192,29.397003,0.7930404
193,29.713837,0.8025403
194,29.680054,0.7928209
195,28.327824,0.80590487
196,29.490902,0.8407583
197,29.507746,0.8402033
198,28.74116,0.8023014
199,28.939793,0.80149364
200,28.12913,0.810736
201,30.234015,0.8404735
202,28.86044,0.82194406
203,30.220367,0.82642287
204,28.258556,0.78604114
205,30.378204,0.7747025
206,28.844168,0.85246867
207,29.63291,0.85056794
208,28.137548,0.80349654
209,27.953247,0.8192463
210,30.527454,0.7954551
211,31.046062,0.7935186
212,30.022583,0.8409933
213,30.581799,0.83404124
214,27.78442,0.7949034
215,27.270142,0.79986566
216,30.03735,0.787809
217,28.591272,0.79847664
218,29.58988,0.80190337
219,29.269506,0.81198424
220,28.523941,0.85042727
221,27.52654,0.8347619
222,28.30579,0.82470834
223,27.377539,0.79420996
224,28.8075,0.7911465
225,29.796408,0.84201765
226,28.59824,0.830475
227,29.064587,0.82153684
228,28.475964,0.8033724
229,29.855877,0.80195
230,28.437918,0.84133875
231,30.915176,0.74683684
232,29.270163,0.850808
233,30.176565,0.8107821
234,28.42125,0.8321495
235,30.377995,0.7820586
236,28.652985,0.85242623
237,27.757471,0.76624775
238,28.043585,0.8094233
239,28.144913,0.7856895
240,29.15153,0.766913
241,30.07042,0.7944561
242,28.37467,0.8066908
243,29.463293,0.82403535
244,28.062582,0.8178026
245,26.693441,0.833912
246,30.036129,0.80960435
247,26.09707,0.82942164
248,30.03088,0.79616964
249,28.663563,0.8112981
250,27.67005,0.7719795
251,29.43523,0.8348239
252,31.361334,0.83000803
253,30.505875,0.82248974
254,28.823658,0.84361494
255,30.374435,0.77420056
256,27.470188,0.826097
257,30.726513,0.7774756
258,28.181248,0.80780756
259,27.86784,0.811787
260,29.804968,0.799585
261,29.16534,0.8052928
262,28.751629,0.81803304
263,31.007595,0.8125868
264,29.578999,0.838861
265,29.58433,0.8219565
