step,content_loss,psnr,ssim
0,0.0344851128757,27.049694061279297,0.7268978953361511
1,0.04249928891658783,27.953453063964844,0.7441037893295288
2,0.04819224774837494,25.688129425048828,0.7347371578216553
3,0.03131876885890961,26.790544509887695,0.7591370344161987
4,0.023536179214715958,27.837465286254883,0.7726707458496094
5,0.030757395550608635,28.849597930908203,0.7826365828514099
6,0.043292514979839325,27.978487014770508,0.7624499797821045
7,0.033784568309783936,29.083375930786133,0.794445276260376
8,0.02864162251353264,27.87958335876465,0.7686589956283569
9,0.045634374022483826,28.84412384033203,0.7919893264770508
10,0.028955131769180298,28.756919860839844,0.7749010920524597
11,0.031131021678447723,28.01567840576172,0.761568009853363
12,0.022747142240405083,29.292125701904297,0.790415346622467
13,0.030667206272482872,28.13937759399414,0.7686566114425659
14,0.020374596118927002,29.1870174407959,0.7801641821861267
15,0.012608150020241737,29.550901412963867,0.7821460962295532
16,0.02819380722939968,29.10708236694336,0.7879651784896851
17,0.022000767290592194,30.627477645874023,0.8057649731636047
18,0.031204409897327423,29.557212829589844,0.7951601147651672
19,0.03223736956715584,29.14542579650879,0.7868589758872986
20,0.022887134924530983,28.708942413330078,0.7817111015319824
21,0.022434573620557785,29.810760498046875,0.7895146012306213
22,0.016248805448412895,29.164764404296875,0.778456449508667
23,0.049257516860961914,28.35759925842285,0.7709464430809021
24,0.03211411461234093,29.839527130126953,0.796029806137085
25,0.03217250481247902,29.14887237548828,0.792378306388855
26,0.026453614234924316,29.272953033447266,0.7927995324134827
27,0.02665647678077221,29.614442825317383,0.7897013425827026
28,0.03412768244743347,29.187585830688477,0.7805100679397583
29,0.031000321730971336,28.56800079345703,0.7966554164886475
30,0.018737807869911194,29.078147888183594,0.8044294118881226
31,0.026616767048835754,30.955209732055664,0.8102689981460571
32,0.021043267101049423,29.257549285888672,0.7761667370796204
33,0.013578712940216064,30.143878936767578,0.804296612739563
34,0.02527536451816559,29.795631408691406,0.7990357875823975
35,0.016457339748740196,29.62499237060547,0.7889701128005981
36,0.01929324120283127,29.291746139526367,0.7942464351654053
37,0.02989443577826023,30.00938606262207,0.8124600052833557
38,0.01732719875872135,29.648914337158203,0.7936639189720154
39,0.02184870094060898,29.426712036132812,0.7729089856147766
40,0.017200304195284843,29.03240966796875,0.7830532789230347
41,0.027979623526334763,29.048959732055664,0.8102147579193115
42,0.02084021270275116,28.543237686157227,0.774442732334137
43,0.03565957024693489,30.029830932617188,0.806490421295166
44,0.022037528455257416,31.358259201049805,0.8133366107940674
45,0.01309962384402752,29.847383499145508,0.7923715710639954
46,0.03534619137644768,30.094070434570312,0.802719235420227
47,0.025007646530866623,29.103620529174805,0.7911310791969299
48,0.02146678976714611,29.68668556213379,0.798126220703125
49,0.020519692450761795,29.716310501098633,0.7990185022354126
50,0.03385601192712784,30.334156036376953,0.8023343682289124
51,0.025493696331977844,29.346309661865234,0.7946707606315613
52,0.02202809602022171,30.7451171875,0.8160962462425232
53,0.043256811797618866,29.47970199584961,0.7912759184837341
54,0.03483325615525246,29.57649040222168,0.7929812073707581
55,0.02428193762898445,29.507341384887695,0.8000677824020386
56,0.025550924241542816,30.882593154907227,0.8183408379554749
57,0.023455558344721794,29.345651626586914,0.7936339974403381
58,0.02676040306687355,29.356372833251953,0.7928123474121094
59,0.03290173038840294,29.07975959777832,0.7954633235931396
60,0.0328165739774704,30.905681610107422,0.8186165690422058
61,0.034586045891046524,30.22625160217285,0.8066020011901855
62,0.03326063230633736,29.34434700012207,0.8001168370246887
63,0.026055021211504936,28.77803611755371,0.7729017734527588
64,0.024910803884267807,29.6225643157959,0.8004312515258789
65,0.02049432136118412,29.0866641998291,0.7910274863243103
66,0.01999329775571823,30.739622116088867,0.8087790012359619
67,0.027780858799815178,29.268978118896484,0.7850274443626404
68,0.02405540458858013,30.0806827545166,0.7912490367889404
69,0.02853451669216156,30.254722595214844,0.8011163473129272
70,0.02863793447613716,29.277629852294922,0.8158450722694397
71,0.026563070714473724,30.62809944152832,0.807313859462738
72,0.027799921110272408,29.740007400512695,0.8038744330406189
73,0.03462802991271019,30.077381134033203,0.8039696216583252
74,0.021371547132730484,29.69527816772461,0.8087506294250488
75,0.03677362948656082,29.949525833129883,0.7994035482406616
76,0.03145138919353485,29.915508270263672,0.7997018694877625
77,0.03010515496134758,30.00558090209961,0.7944910526275635
78,0.02603987604379654,29.672800064086914,0.8128083944320679
79,0.0284663625061512,29.185941696166992,0.780470609664917
80,0.024096518754959106,30.495655059814453,0.8038337826728821
81,0.023023823276162148,29.905702590942383,0.7952618598937988
