step,psnr,ssim
0,28.578907012939453,0.7606817483901978
1,29.220386505126953,0.761123538017273
2,29.131731033325195,0.758757472038269
3,29.133670806884766,0.7578482031822205
4,29.36395263671875,0.7594203948974609
5,29.71002197265625,0.7708232402801514
6,29.338613510131836,0.7638259530067444
7,29.545814514160156,0.7640038132667542
8,29.202123641967773,0.7594440579414368
9,29.602962493896484,0.7622972726821899
10,29.309663772583008,0.7642982602119446
11,29.74818992614746,0.7695574760437012
12,29.540918350219727,0.7654047608375549
13,29.29785919189453,0.7573943138122559
14,29.545366287231445,0.7650320529937744
15,29.611278533935547,0.7622622847557068
16,29.600982666015625,0.761229932308197
17,29.503746032714844,0.7582170963287354
18,29.58051300048828,0.765528678894043
19,29.596538543701172,0.7660189867019653
