epoch,content_loss,feature_loss,style_loss
0,0.030043061822652817,3.682861566543579,0.03892355412244797
1,0.021513210609555244,1.8867056369781494,0.02823011204600334
2,0.02665763907134533,2.2663562297821045,0.025928935036063194
3,0.022250359877943993,1.5253068208694458,0.023934459313750267
4,0.029785457998514175,2.3116745948791504,0.023590175434947014
5,0.020199159160256386,1.3483980894088745,0.014917858876287937
6,0.023595931008458138,1.492810606956482,0.021716147661209106
7,0.025164663791656494,1.4244996309280396,0.01941857859492302
8,0.024756139144301414,1.337830901145935,0.012154231779277325
9,0.02205190621316433,1.326934576034546,0.008907484821975231
10,0.01908772811293602,0.9501334428787231,0.018525226041674614
11,0.01602933555841446,0.7963530421257019,0.007399206515401602
12,0.01937990076839924,0.975158154964447,0.011727536097168922
13,0.009370398707687855,0.32001426815986633,0.00442093051970005
14,0.017014695331454277,0.7401901483535767,0.006342337001115084
15,0.018451562151312828,0.8893388509750366,0.011553077958524227
16,0.025885051116347313,1.0753965377807617,0.010737767443060875
17,0.02812972664833069,1.2760194540023804,0.011954246088862419
18,0.021190734580159187,0.9052973389625549,0.006140107288956642
19,0.018371514976024628,0.6588180661201477,0.014187721535563469
