epoch,content_loss
0,0.03104037418961525
1,0.03259577229619026
2,0.03704879805445671
3,0.02184331603348255
4,0.022256426513195038
5,0.027903923764824867
6,0.03698917105793953
7,0.02647605538368225
8,0.022127848118543625
9,0.026342500001192093
10,0.02114197611808777
11,0.021903103217482567
12,0.020462244749069214
13,0.02345404401421547
14,0.02204291522502899
15,0.01779806986451149
16,0.021248355507850647
17,0.03371937572956085
18,0.02339007705450058
19,0.018772553652524948
20,0.015142274089157581
20,0.019736986607313156
21,0.032112374901771545
22,0.039828844368457794
23,0.015914754942059517
24,0.02973114140331745
25,0.028487520292401314
26,0.022307777777314186
27,0.023558558896183968
28,0.015376555733382702
29,0.016799047589302063
30,0.0208747535943985
31,0.036369673907756805
32,0.01966569386422634
33,0.014387131668627262
34,0.021987231448292732
35,0.019962413236498833
36,0.02762599103152752
37,0.030143052339553833
38,0.019847551360726357
39,0.011903764680027962
40,0.021594680845737457
41,0.017544422298669815
42,0.014319689944386482
43,0.013221921399235725
44,0.013233162462711334
45,0.017607105895876884
46,0.01965462788939476
47,0.022862626239657402
48,0.009111123159527779
49,0.018685845658183098
50,0.027779245749115944
51,0.017840735614299774
52,0.020883940160274506
53,0.020481940358877182
54,0.020087463781237602
55,0.008548644371330738
56,0.022907216101884842
57,0.02151431515812874
58,0.02520761452615261
59,0.02253110334277153
60,0.016521312296390533
61,0.02175130695104599
62,0.009706627577543259
63,0.017935050651431084
64,0.016733437776565552
65,0.013944718055427074
66,0.008944062516093254
67,0.010435223579406738
68,0.015470605343580246
69,0.011184764094650745
