epoch,content_loss,feature_loss,style_loss
0,0.03230755031108856,0.09482496231794357,0.05412241071462631
1,0.02463643252849579,0.07700250297784805,0.023525990545749664
2,0.030880361795425415,0.0927923321723938,0.015169580467045307
3,0.02767036482691765,0.06841712445020676,0.01776539720594883
4,0.026428088545799255,0.05662985146045685,0.019168900325894356
5,0.033021751791238785,0.0791231170296669,0.011602475307881832
6,0.03326108679175377,0.07793022692203522,0.036557115614414215
7,0.04345159977674484,0.10478394478559494,0.013673989102244377
8,0.029750006273388863,0.06467293202877045,0.012134620919823647
9,0.026092499494552612,0.05193280428647995,0.008723102509975433
10,0.029338233172893524,0.07435861974954605,0.015205341391265392
11,0.022488856688141823,0.043989889323711395,0.005876424256712198
12,0.02451595664024353,0.041053202003240585,0.0074464562349021435
13,0.03878629952669144,0.06548716872930527,0.0169165451079607
14,0.03465145826339722,0.06359539180994034,0.018117455765604973
15,0.024460364133119583,0.027577685192227364,0.0047625089064240456
16,0.026364032179117203,0.04121730849146843,0.007009943015873432
17,0.04185853898525238,0.04515776038169861,0.012802199460566044
18,0.017119599506258965,0.023956889286637306,0.002570604905486107
19,0.026855377480387688,0.045361753553152084,0.0449441634118557
