epoch,content_loss,val_psnr,val_ssim
0,0.08578060567378998,24.72694206237793,0.6972199082374573
1,0.07386820018291473,18.45821762084961,0.350386381149292
2,0.05696751922369003,22.870838165283203,0.5464591383934021
3,0.08025319874286652,24.155033111572266,0.6217644214630127
4,0.04401693493127823,21.457860946655273,0.4193406403064728
5,0.0502941757440567,23.720367431640625,0.4632855951786041
6,0.05243831127882004,29.567684173583984,0.556786060333252
7,0.06378081440925598,24.981569290161133,0.5686787366867065
8,0.04392138496041298,25.254743576049805,0.5929763317108154
9,0.05006995052099228,25.578712463378906,0.6282591819763184
