epoch,content_loss,val_psnr,val_ssim
0,0.09400451928377151,20.88705062866211,0.5642499923706055
1,0.05456902086734772,24.76739501953125,0.6033427715301514
2,0.05750435218214989,22.839988708496094,0.6274116039276123
3,0.0630112886428833,22.110456466674805,0.46970537304878235
4,0.06162276491522789,22.975597381591797,0.4603840410709381
5,0.03228316456079483,24.845355987548828,0.6816594004631042
6,0.05143553763628006,25.69200897216797,0.6665069460868835
7,0.04676968976855278,18.622417449951172,0.39345088601112366
8,0.06079773232340813,21.930416107177734,0.49511128664016724
9,0.034566450864076614,23.804962158203125,0.5941785573959351
10,0.06315214931964874,28.587711334228516,0.846991240978241
11,0.06286774575710297,26.659908294677734,0.6784738898277283
12,0.03374761343002319,22.954124450683594,0.6068808436393738
13,0.03232388198375702,24.945018768310547,0.688990592956543
14,0.045589134097099304,24.725971221923828,0.6269137263298035
