epoch,content_loss,val_psnr,val_ssim
0,0.05328623577952385,21.183055877685547,0.5069789886474609
1,0.0432116761803627,23.349761962890625,0.5346558690071106
2,0.06602749973535538,25.171213150024414,0.5888738632202148
3,0.07085736095905304,21.315074920654297,0.5384805202484131
4,0.050180647522211075,24.60650634765625,0.5952839851379395
5,0.04971468821167946,34.17197036743164,0.7684959173202515
6,0.04627097398042679,24.716398239135742,0.6784465312957764
7,0.055321093648672104,25.929468154907227,0.5683688521385193
8,0.06892609596252441,30.79638671875,0.7889781594276428
9,0.03110435977578163,25.859804153442383,0.5401067733764648
