epoch,content_loss,val_psnr,val_ssim
0,0.007030075415968895,23.802640914916992,0.5517823100090027
1,0.009414218366146088,21.108448028564453,0.45251035690307617
2,0.005501525942236185,25.181636810302734,0.557206392288208
3,0.003930319100618362,25.003664016723633,0.7006112337112427
4,0.006595971528440714,22.839008331298828,0.565544843673706
5,0.006053721997886896,26.25404167175293,0.6215307116508484
6,0.004977775737643242,28.10684585571289,0.6988499164581299
7,0.01198897697031498,26.04077911376953,0.766316294670105
8,0.004632714204490185,25.582000732421875,0.6514993906021118
9,0.003133130958303809,23.74172019958496,0.6446930170059204
10,0.0059789931401610374,22.402591705322266,0.5623145699501038
11,0.0033938479609787464,23.449172973632812,0.6638681292533875
12,0.0037614856846630573,26.688793182373047,0.721933126449585
13,0.00698640663176775,23.616044998168945,0.6044363975524902
14,0.0019723426084965467,26.635780334472656,0.7165101170539856
