epoch,content_loss,val_psnr,val_ssim
0,0.10733842849731445,15.949691772460938,0.4603821635246277
1,0.11221681535243988,15.567831039428711,0.34583520889282227
2,0.11284114420413971,18.844425201416016,0.5401449799537659
3,0.07370192557573318,18.294586181640625,0.3926083445549011
4,0.07681332528591156,20.64133644104004,0.5486292243003845
5,0.06822895258665085,18.451004028320312,0.37677130103111267
6,0.070818692445755,19.113462448120117,0.4527350962162018
7,0.05729839205741882,21.233604431152344,0.5435070991516113
8,0.05712633952498436,26.704328536987305,0.8580132722854614
9,0.04974139854311943,20.592273712158203,0.5218805074691772
