epoch,content_loss,val_psnr,val_ssim
0,0.07728247344493866,28.287155151367188,0.7237403392791748
1,0.04927368462085724,23.12969398498535,0.63623046875
2,0.0643596351146698,20.87258529663086,0.46358397603034973
3,0.04064098000526428,28.809864044189453,0.6458667516708374
4,0.04597766697406769,24.506099700927734,0.5683988928794861
5,0.04772358387708664,20.597414016723633,0.516305148601532
6,0.05437920242547989,35.04119873046875,0.6785248517990112
7,0.05632784962654114,22.464237213134766,0.5223401784896851
8,0.04071366414427757,22.239898681640625,0.45167824625968933
9,0.06137988716363907,21.185375213623047,0.42217108607292175
